"2018-02-05.CGAA-2541 ]  Any anonymous user (central or licensee): hompage links to ""Themes of the Week"" page ||| https://ownsourcing.atlassian.net/browse/CGAA-2541 ||| ||| Feature:: Homepage link to Themes of the Week page ||| Benefit: In order to visit other recently created Theme of the week collections not featured on homepage ||| Actor: As an anonymous user ||| Action: I can click the title of the currently featured Theme of the week on the homepage or click ""More Themes of the Week' ||| Outcome: Then I see the page load with the ""Themes of the Week"" at the top <span class=""image-wrap"" style="""">"	CGAA-2541	Mon	2018-02-05	 16:40:05 -0500	" Any anonymous user (central or licensee): hompage links to ""Themes of the Week"" page ||| https://ownsourcing.atlassian.net/browse/CGAA-2541 ||| ||| Feature:: Homepage link to Themes of the Week page ||| Benefit: In order to visit other recently created Theme of the week collections not featured on homepage ||| Actor: As an anonymous user ||| Action: I can click the title of the currently featured Theme of the week on the homepage or click ""More Themes of the Week' ||| Outcome: Then I see the page load with the ""Themes of the Week"" at the top <span class=""image-wrap"" style="""">"	"CGAA-2541 ||| Any anonymous user (central or licensee): hompage links to ""Themes of the Week"" page "
"2018-02-05.CGAA-2539 ]  Any anonymous user (central or licensee): ""more polls"" link on homepage ||| https://ownsourcing.atlassian.net/browse/CGAA-2539 ||| Feature:: Homepage link to Polls page ||| Benefit: In order to visit other polls not featured on homepage ||| Actor: As an anonymous user ||| Action: I can click on ""more polls"" under the homepage poll ||| Outcome: Then I see the page load with the ""Polls"" at the top. Would this benefit from a scenario as well?</description>"	CGAA-2539	Mon	2018-02-05	 16:34:10 -0500	" Any anonymous user (central or licensee): ""more polls"" link on homepage ||| https://ownsourcing.atlassian.net/browse/CGAA-2539 ||| Feature:: Homepage link to Polls page ||| Benefit: In order to visit other polls not featured on homepage ||| Actor: As an anonymous user ||| Action: I can click on ""more polls"" under the homepage poll ||| Outcome: Then I see the page load with the ""Polls"" at the top. Would this benefit from a scenario as well?</description>"	"CGAA-2539 ||| Any anonymous user (central or licensee): ""more polls"" link on homepage "
"2018-02-05.CGAA-2540 ]  any anonymous user (central or licensee): homepage ""more quizzes"" link ||| https://ownsourcing.atlassian.net/browse/CGAA-2540 ||| Feature:: Homepage link to Quizzes page ||| Benefit: In order to view quizzes other than those featured on the homepage ||| Actor: As an anonymous user ||| Action: I can click ""more quizzes"" under the featured homepage ||| Outcome: Then I see the page load with ""Quizzes"" at the top <span class=""image-wrap"" style="""">"	CGAA-2540	Mon	2018-02-05	 16:32:40 -0500	" any anonymous user (central or licensee): homepage ""more quizzes"" link ||| https://ownsourcing.atlassian.net/browse/CGAA-2540 ||| Feature:: Homepage link to Quizzes page ||| Benefit: In order to view quizzes other than those featured on the homepage ||| Actor: As an anonymous user ||| Action: I can click ""more quizzes"" under the featured homepage ||| Outcome: Then I see the page load with ""Quizzes"" at the top <span class=""image-wrap"" style="""">"	"CGAA-2540 ||| any anonymous user (central or licensee): homepage ""more quizzes"" link "
"2018-02-05.CGAA-2538 ]  any anonymous user (central or licensee): ""read more"" link on homepage under ""All about alice!"" ||| https://ownsourcing.atlassian.net/browse/CGAA-2538 ||| Feature:: Homepage ""read more"" link to ""All About Alice!"" page ||| Benefit: In order to visit one the page of the site with more information about the content creators ||| Actor: As an anonymous user ||| Action: I can click on ""read more"" under the heading ""All About Alice!"" on the homepage ||| Outcome: Then I see the page load with the ""All About Alice!"" at the top Unable to render embedded object: File (image-2018-02-05-16-24-23-338.png) not found.</span>"	CGAA-2538	Mon	2018-02-05	 16:24:26 -0500	" any anonymous user (central or licensee): ""read more"" link on homepage under ""All about alice!"" ||| https://ownsourcing.atlassian.net/browse/CGAA-2538 ||| Feature:: Homepage ""read more"" link to ""All About Alice!"" page ||| Benefit: In order to visit one the page of the site with more information about the content creators ||| Actor: As an anonymous user ||| Action: I can click on ""read more"" under the heading ""All About Alice!"" on the homepage ||| Outcome: Then I see the page load with the ""All About Alice!"" at the top Unable to render embedded object: File (image-2018-02-05-16-24-23-338.png) not found.</span>"	"CGAA-2538 ||| any anonymous user (central or licensee): ""read more"" link on homepage under ""All about alice!"" "
"2018-02-05.CGAA-2537 ]  Any anonymous user (central or licensee): homepage ""All about alice"" link ||| https://ownsourcing.atlassian.net/browse/CGAA-2537 ||| Feature:: Homepage link to All About Alice! ||| Benefit: In order to visit the page that will share more information about Alice! and who creates the content ||| Actor: As an anonymous user ||| Action: I can click ""All about Alice!"" that's linked to another page ||| Outcome: Then I see the page load with the same title at the top Unable to render embedded object: File (image-2018-02-05-16-21-30-243.png) not found.</span>"	CGAA-2537	Mon	2018-02-05	 16:21:33 -0500	" Any anonymous user (central or licensee): homepage ""All about alice"" link ||| https://ownsourcing.atlassian.net/browse/CGAA-2537 ||| Feature:: Homepage link to All About Alice! ||| Benefit: In order to visit the page that will share more information about Alice! and who creates the content ||| Actor: As an anonymous user ||| Action: I can click ""All about Alice!"" that's linked to another page ||| Outcome: Then I see the page load with the same title at the top Unable to render embedded object: File (image-2018-02-05-16-21-30-243.png) not found.</span>"	"CGAA-2537 ||| Any anonymous user (central or licensee): homepage ""All about alice"" link "
"2018-02-05.CGAA-2536 ]  Any anonymous user (Central or Licensee): homepage social media buttons ||| https://ownsourcing.atlassian.net/browse/CGAA-2536 ||| ||| Feature:: Homepage links to Alice! social media and sharing ||| Benefit: In order to visit one of the social media accounts for Alice! Health Promotion ||| Actor: As an anonymous user ||| Action: I can click on a social media button on the homepage ||| Outcome: Then I a pop up screen asks if I wish to leave the GAA! site, and after clicking ""continue"" I am redirected to the particular social media account page <span class=""image-wrap"" style="""">"	CGAA-2536	Mon	2018-02-05	 16:18:07 -0500	" Any anonymous user (Central or Licensee): homepage social media buttons ||| https://ownsourcing.atlassian.net/browse/CGAA-2536 ||| ||| Feature:: Homepage links to Alice! social media and sharing ||| Benefit: In order to visit one of the social media accounts for Alice! Health Promotion ||| Actor: As an anonymous user ||| Action: I can click on a social media button on the homepage ||| Outcome: Then I a pop up screen asks if I wish to leave the GAA! site, and after clicking ""continue"" I am redirected to the particular social media account page <span class=""image-wrap"" style="""">"	CGAA-2536 ||| Any anonymous user (Central or Licensee): homepage social media buttons 
"2018-02-02.CGAA-2535 ]  Any anonymous user (licensee or central site): homepage theme Q&A links ||| https://ownsourcing.atlassian.net/browse/CGAA-2535 ||| ||| Feature:: Homepage links to individual Q&amp;As featured in theme of the week ||| Benefit: In order to visit one of the five featured theme Q&amp;As on the homepage ||| Actor: As an anonymous user ||| Action: I can click a linked Q&amp;A title ||| Outcome: Then I see the page load with the same title at the top <span class=""image-wrap"" style="""">"	CGAA-2535	Fri	2018-02-02	 15:44:32 -0500	" Any anonymous user (licensee or central site): homepage theme Q&A links ||| https://ownsourcing.atlassian.net/browse/CGAA-2535 ||| ||| Feature:: Homepage links to individual Q&amp;As featured in theme of the week ||| Benefit: In order to visit one of the five featured theme Q&amp;As on the homepage ||| Actor: As an anonymous user ||| Action: I can click a linked Q&amp;A title ||| Outcome: Then I see the page load with the same title at the top <span class=""image-wrap"" style="""">"	CGAA-2535 ||| Any anonymous user (licensee or central site): homepage theme Q&A links 
"2018-02-02.CGAA-2534 ]  Any anonymous user (licensee or central site): recent Q&As ||| https://ownsourcing.atlassian.net/browse/CGAA-2534 ||| ||| Feature:: Homepage link to recent Q&amp;As ||| Benefit: In order to visit one of the newest and recently updated Q&amp;As on the site ||| Actor: As an anonymous user ||| Action: I can click on ""More Q&amp;As"" on the homepage ||| Outcome: Then I see the page load with the ""New Q&amp;As"" at the top <span class=""image-wrap"" style="""">"	CGAA-2534	Fri	2018-02-02	 15:41:09 -0500	" Any anonymous user (licensee or central site): recent Q&As ||| https://ownsourcing.atlassian.net/browse/CGAA-2534 ||| ||| Feature:: Homepage link to recent Q&amp;As ||| Benefit: In order to visit one of the newest and recently updated Q&amp;As on the site ||| Actor: As an anonymous user ||| Action: I can click on ""More Q&amp;As"" on the homepage ||| Outcome: Then I see the page load with the ""New Q&amp;As"" at the top <span class=""image-wrap"" style="""">"	CGAA-2534 ||| Any anonymous user (licensee or central site): recent Q&As 
"2018-02-02.CGAA-2533 ]  Any anonymous user (licensee or central site): featured homepage quizzes ||| https://ownsourcing.atlassian.net/browse/CGAA-2533 ||| ||| Feature:: Homepage links to quizzes ||| Benefit: In order to visit one of the quizzes listed on the homepage ||| Actor: As an anonymous user ||| Action: I can click a linked quiz title ||| Outcome: Then I see the page load with the same title at the top <span class=""image-wrap"" style="""">"	CGAA-2533	Fri	2018-02-02	 15:37:29 -0500	" Any anonymous user (licensee or central site): featured homepage quizzes ||| https://ownsourcing.atlassian.net/browse/CGAA-2533 ||| ||| Feature:: Homepage links to quizzes ||| Benefit: In order to visit one of the quizzes listed on the homepage ||| Actor: As an anonymous user ||| Action: I can click a linked quiz title ||| Outcome: Then I see the page load with the same title at the top <span class=""image-wrap"" style="""">"	CGAA-2533 ||| Any anonymous user (licensee or central site): featured homepage quizzes 
"2018-02-02.CGAA-2532 ]  Any anonymous user (licensee or central site): Voting on homepage poll ||| https://ownsourcing.atlassian.net/browse/CGAA-2532 ||| Scenario: voting on homepage poll ||| Given I am on goaskalice.green.edu or goaskalice.columbia.edu ||| And I am not logged in ||| And I have clicked on a poll option ||| And I click the ""vote"" button ||| Then I see a message that my vote was recorded, the percentage of votes previously cast with each voting option, and the total votes cast thus far."	CGAA-2532	Fri	2018-02-02	 15:34:25 -0500	" Any anonymous user (licensee or central site): Voting on homepage poll ||| https://ownsourcing.atlassian.net/browse/CGAA-2532 ||| Scenario: voting on homepage poll ||| Given I am on goaskalice.green.edu or goaskalice.columbia.edu ||| And I am not logged in ||| And I have clicked on a poll option ||| And I click the ""vote"" button ||| Then I see a message that my vote was recorded, the percentage of votes previously cast with each voting option, and the total votes cast thus far."	CGAA-2532 ||| Any anonymous user (licensee or central site): Voting on homepage poll 
